1xx, "Informational <BR>" 
 302 , "Found <BR> The requested resource resides temporarily under a different URI. This is the default status code returned if the request matches a Redirect or RedirectMatch directive, or a rewriterule flagged with [R].
Example usage: Redirect /foo http://www.example.com/bar or RewriteRule /foo http://www.example.com/bar [R]<BR>  <BR>" 
 303 , "See Other <BR>The response to the request can be found under a different URI and should be retrieved using a GET method on that resource. This method exists primarily to allow the output of a POST-activated script to redirect the user agent to a selected resource.
Example usage: Redirect seeother /foo http://www.example.com/bar or RewriteRule /foo http://www.example.com/bar [R=303]<BR> " 
 304 , "Not Modified <BR> If the client has performed a conditional GET request and access is allowed, but the document has not been modified, the server should respond with this status code. The httpd response will include header fields informing the http client about the requested resource. If this information is identical to the cached version of the resource, this cached version will be used by the http client. Header fields that include such information are: Date, ETag, Content-Location, Cache-Control, Expires, and/or Vary. <BR> Caching<BR>" 
 305 , "Use Proxy <BR> The requested resource must be accessed through the proxy, which is given by the Location field in the httpd response. Usually the http client will immediately request the resource described in this Location field.<BR> mod_proxy<BR>" 
 306 , " Was used in earlier versions of the RFC, currently unused. <BR> " 
 307 , "Temporary Redirect <BR>Defined in the HTTP/1.1 specification as a more strict version of 302. See the RFC for details.
Example usage: Redirect 307 /foo http://www.example.com/bar or RewriteRule /foo http://www.example.com/bar [R=307] <BR> RFC2616 Section 10 <BR>" 
 4xx, "Client Error <BR>" 
 400 , "Bad Request <BR>The request could not be understood by the server due to malformed syntax. Usually this is because of a error in the http client itself or a plugin/addon/malware loaded in the http client. You can inspect what request was being sent exactly by looking in the access logs. When using mod_security, check if the request is matching a rule and being blocked. Very rarely caused by problems on the network layer, either client- or serverside, resulting in corrupted http packets. 
 Note that there is a bug in IE5 and IE6 causing Bad Request errors to occur when using digest authentication. Apache HTTPD Server provides a workaround for this. <BR> " 
 401 , "Unauthorized <BR>When the http client requests a resource that requires authentication, http status code 401 is returned. The http client will need to provide valid authentication details in the request in order to access the resource. If the http client already sent the authentication details and the status code 401 is still returned, this means the authentication details were invalid. Possibly also caused by misconfigured authentication directives or invalid or corrupted password files. <BR> Authentication<BR>" 
 402 , "Payment Required <BR>This status code is reserved for future use, currently not returned by Apache HTTPD Server. <BR> " 
 403 , "Forbidden <BR>The server understood the request, but is refusing to fulfill it. Common causes are: 
 * No index file and indexing is turned off 
 * Deny rule matching the request 
 * Resource cannot be modified (the default response to a PUT request) 
 * Filesystem permission problems (13PermissionDenied)
 Always check the errorlog for what exactly went wrong. <BR>" 
 404 , "Not Found <BR>The server has not found anything matching the request URI. This is commonly caused by a erroneous hyperlink or when resources are moved without modifying references to them. Could also be caused by an invalid internal redirect or rewriterule, check the accesslog and/or rewritelog to see what resource was requested exactly. 
 Note that *nix operating systems are case-sensitive by default, so a request for /Foo while /foo was intended, will result in a 404 status code being returned. <BR> " 
 405 , "Method Not Allowed <BR>  " 
 406 , "Not Acceptable <BR>  " 
 407 , "Proxy Authentication Required <BR>  " 
 408 , "Request Timeout <BR>  " 
 409 , "Conflict <BR>  " 
 410 , "Gone <BR>The requested resource is no longer available at the server and no forwarding address is known. This is the preferred way of letting the http client know that a resource is permanently no longer available. 
Example usage: Redirect gone /foo http://www.example.com/bar <BR> " 
 411 , "Length Required <BR>  " 
 412 , "Precondition Failed <BR>  " 
 413 , "Request Entity Too Large <BR>  " 
 414 , "Request-URI Too Long <BR>  " 
 415 , "Unsupported Media Type <BR>  " 
 416 , "Requested Range Not Satisfiable <BR>  " 
 417 , "Expectation Failed <BR>  " 
 422 , "Unprocessable Entity <BR>Part of the http status code extensions for Distributed Authoring (WebDAV). 
 Used to let the http client know that the server understands the content type of the request entity but was unable to to process the contained instructions. 
 Example usage: a request body contains syntactically correct XML but semantically erroneous XML instructions. <BR>" 
 423 , "Locked <BR>Part of the http status code extensions for Distributed Authoring (WebDAV). 
 Means the source or destination resource of a method is locked. 
Example usage: Alice is working on file foo.txt in a svn repository and locks the file at the end of her shift. In the mean time Bob was also working on foo.txt and tries to commit his changes trough a WebDAV-enabled httpd, which results in a response code 423. <BR>" 
 424 , "Failed Dependency <BR>Part of the http status code extensions for Distributed Authoring (WebDAV). 
 Means that the method could not be performed on the resource because the requested action depended on another action and that action failed. 
 Example usage: a PROPPATCH method is invoked with multiple changes to a resource, and one of these modifications fails. Since this method executes as a single atomic act, all changes must be able to be processed for the request to be succesfully completed. The other changes depended on the single failed modification, and the httpd returns status code 424. <BR>" 
 426 , "Upgrade Required <BR>Part of the http status code extensions for Upgrading to TLS Within HTTP/1.1. 
 Lets the client know that TLS is required for the client request to be completed. Will be followed by a Upgrade header specifying the required TLS version. <BR>" 
 5xx, "Server Error <BR>" 
 500 , "Internal Server Error <BR>The server encountered an unexpected condition which prevented it    from fulfilling the request. Basically means that *something* went wrong on the server. You will need to consult the errorlog for what exactly went wrong. 
 Common causes are: 
 * Erroneous CGI / PHP (Bad filesystem permissions, scripting errors, malformed or missing shebang line, bad line endings, script timeouts, etc) 
 * Malformed directives in a .htaccess file 
 * Hardware / OS problems 
 Check out the link to detailed errors for more detailed errormessages. <BR>" 
 501 , "Not Implemented <BR>The server does not support the functionality required to fulfill the    request. This is occasionally seen in cases where a malicious client tries to execute commands trough the httpd. Requests like '\x05\x01' arrive at the server, which is replied with a 501 status code. <BR> " 
 502 , "Bad Gateway <BR>The server, while acting as a gateway or proxy, received an invalid response from the upstream server it accessed in attempting to fulfill the request. This can happen when a backend processor is misconfigured or encounters an error. Also the default behaviour of mod_proxy is to send the status code 502 if it receives syntactically invalid response header lines (i.e. containing no colon) from the origin server. 
 A bug causing Bad Gateway errors was fixed in 2.2.4, so if you encounter this error using an old version, please upgrade to the most recent version. <BR> ProxyBadHeader <BR>" 
 503 , "Service Unavailable <BR>The server is currently unable to handle the request due to a temporary overloading or maintenance of the server. Check the current load of the server using for example mod_status or your OS (for example: top, ps, apachetop). Could also be caused by misconfigured MPM settings. <BR> " 
 504 , "Gateway Timeout <BR>The server, while acting as a gateway or proxy, did not receive a timely response from the upstream server specified by the URI (e.g. HTTP, FTP, LDAP) or some other auxiliary server (e.g. DNS) it needed    to access in attempting to complete the request. You will need to check the status or logs on the backend side to find out what is causing the timeouts. <BR> " 
 505 , "HTTP Version Not Supported <BR>The http version used in the request is not supported by the httpd. Note that the Apache HTTPD Server is fully HTTP/1.1 compatible since version 1.2 (released June 1997), so this error will not likely be encountered, unless a malformed version was specified in the request. <BR> " 
 506 , "Variant Also Negotiates <BR>Part of the http status code extensions for Transparent Content Negotiation in HTTP. 
 Indicates that the server has an internal configuration error: the chosen variant resource is configured to engage in transparent content negotiation itself, and is therefore not a proper end point in the negotiation process. 
Example usage:   TODO: Documentation says this RFC is supported, but what config or type-map contents would result in this status code? <BR>" 
 507 , "Insufficient Storage <BR>Part of the http  status code extensions for Distributed Authoring (WebDAV).
 Means the method could not be performed on the resource because the server is unable to store the representation needed to successfully complete the request. Also known to be used by other applications, such as Microsoft Exchange. <BR>" 
 510 , "Not Extended <BR>Part of the http status code extensions for An HTTP Extension Framework. See link for details. <BR>To get more details on the complete meaning of these codes you should consult the relevant standards, or more specifically RFC 2616 Section 10. <BR>HTTP status codes can be found in the Apache HTTPD logfiles, this example shows a request that results in a '200' response code:   127.0.0.1 - foo [21/Jul/2011:13:37:42 +0100] &quot;GET /bar HTTP/1.1&quot; 200 23674  <BR>Remember that, in the case of an error status code (4xx or 5xx), there will almost always be more details available in the Apache error log. See DistrosDefaultLayout if you don't know where that file is kept. <BR>"
